tabooWord,word1,word2,word3,word4,word5
LED,Diode,Licht,Farbe,Lampe,klein
Leichenstarre,Körper,Tot,Steif,Beweglich,Nach
Lernen,Vokabel,Schule,auswendig,neu,Wissen
Lesung,Author,Buch,Fan,Veranstaltung,zuhören
Liebe,Hass,Brief,Herz,toll,Mensch
Likör,Süss,Alkohol,Trinken,Bar,Feucht
Limette,Zitrone,Frucht,sauer,Cocktail,Mojito
Linoleum,Boden,Belag,Teppich,Bohnern,Flüsse
Lippenstift,Mund,Make-Up,Rot,Kussecht,Handtasche
Liter,Mass,Flüssig,Kubikdezimeter,Flasche,Benzin
Lob,Leistung,Rüge,Belohnen,Anerkennung,Tennis
Loch Ness,Ungeheuer,Kreatur,Tier,See,Schottland
Looping,Flugzeug,Kunst,Überschlag,Schleife,Hoch
Lupe,groß,klein,Glas,Linse,sehen
Luxemburg,Land,Europa,RTL,Benelux,Graf
Mädchen,Junge,Rock,Zopf,Frau,weiblich
Magen,Organ,Bauch,Verdauung,Essen,Darm
Mahlzeit,Essen,kalt,heiß,Suppe,Frühstück
Märchenkönig,Ludwig,Bayern,Wagner,Neuschwanstein,Starnberg
Maul,Mund,Gebiss,Tier,Beissen,Hund
Mauspad,Computer,Tisch,Unterlage,gleiten,Matte
Median,Mitte,gleich,Wert,Zahl,Durchschnitt
Medizin,Tablette,Spritze,Arzt,Gesundheit,krank
Meinung,Einstellung,Abstimmung,denken,Standpunkt,Ansicht
Mentor,Lehrer,zeigen,erklären,erfahren,Anfänger
Meteorit,fallen,Stein,Himmel,Weltall,Komet
Mikroskop,Vergrössern,klein,Bakterien,Linsen,Elektronen
Minderheit,Mehrzahl,klein,Teil,wenig,viel
Minirock,Kurz,Kleidung,Bein,midi,Mode 
Mischung,Verschiedene,Mehrere,Rühren,Zusammen,Pur
Mittelmeer,Wasser,Italien,Süden,Europa,Mallorca
Mowgli,Buch,Dschungel,Affe,Balu,Junge
Museum,Kunst,Ausstellung,Sammlung,Gebäude,Naturkunde
Nächstenliebe,kümmern,gutmütig,nett,helfen,unterstützen
Name,Spitzname,Identität,Familie,heißen,Tier
Nass,Feucht,Trocken,Wasser,Regen,Tropfen
Neuron,Nerv,Zelle,Gehirn,Leitung,Signal
Nicken,Kopf,Ja,Zustimmung,Nein,Bestätigen
Norwegen,Land,Oslo,Europa,Skandinavien,Fjorde
Note,Musiker,Lesen,Fluss,schreiben,Töne
Notfall,Krise,schlimm,Hilfe,bedenklich,Lage
Oben,Unten,hinauf,Berg,Treppe,Dach
Ofen,Herd,Feuer,Kochen,Küche,heiss
Öl,Petroleum,bohren,Olive,Auto,Sardine
Olive,öl,Grün,Hain,Martini,Salat
Oval,Form,rund,Ei,Kreis,Ellipse
Palme,Baum,Kokosnuss,Süden,Strand,klettern
Panzer,Krieg,fahren,Kanone,schwer,Bundeswehr
Paternoster,Aufzug,Stockwerk,Etage,alt,früher
Pest,früher,Krankheit,Seuche,schwarz,Mittelalter
Pfeffer,Gewürz,Salz,Mühle,Rot,schwarz
Pflanze,grün,Sauerstoff,Tier,wachsen,Chlorophyll
Pilger,glauben,Lourdes,Wallfahrt,Kreuz,Beten
Pille,Tablette,schwanger,Medizin,schlucken,verhüten
Pilot,fliegen,Flugzeug,Kapitän,Stewardess,Airline
Pinguin,Vogel,Schwimmen,Eis,Antarktis,fliegen
Pirat,Holzbein,entern,Schatz,Meer,Seeräuber
Pokal,Trophäe,Sieg,verleihen,Fussball,gewinnen
Poltergeist,Haus,Wohnung,Spuk,Gespenst,Aberglaube
Populär,jeder,Beliebt,Star,Kennen,Alle
Portrait,senkrecht,Gesicht,Person,Bild,Foto
Promenade,Tanzen,spazieren,Strasse,Mischung,Ufer
Puzzle,Bild,Teil,Ravensburger,schneiden,zusammensetzen
Pyramide,Ägypten,Gizeh,Sphinx,Pharaoh,Grab
Quartal,Kalender,Monat,Vier,Viertel,Jahr
Quelle,Bach,Fluss,Strom,Ursprung,Mineral
Rand,Kante,Ecke,außen,voll,Grenze
Regel,Vereinbarung,Gesetz,brechen,Vertrag,müssen
Regenbogen,über,Sonne,Wetter,Farbe,Prisma
Reich,Million,Geld,arm,viel,Dagobert
Religion,Gott,beten,Gottesdienst,Glaube,Kirche
Rennwagen,Auto,fahren,schnell,Formel,Porsche
Rippen,Brust,zählen,Knochen,Wirbelsäule,brechen
Safari,Arfika,Tier,Auto,Tourist,fahren
Schach,Spielen,Turnier,König,Matt,64
Schallplatte,Musik,Lied,Scheibe,spielen,Rund
Schaumstoff,weich,Plastik,Pore,Schwamm,Matratze
Scheidung,Ex,Heirat,Trennung,Tisch,auseinander
Schiedsrichter,Fußball,Pfeife,Karte,Spiel,unparteiisch
Schillern,Glanz,Glitzer,Flitter,Farbe,bunt
Schlafen,Nacht,Auge,Bett,dunkel,Licht
Schlauchboot,Schiff,Wasser,Gummi,Meer,aufblassen
Schlitten,fahren,Winter,Schnee,Weihnachten,gleiten
Schlüssel,Schloss,Bart,umdrehen,Tür,öffnen
Schmetterling,flattern,fliegen,Flügel,bunt,Insekt
Schnäppchen,deal,Preis,Ausverkauf,billig,teuer
Schönheit,Frauen,Gesicht,Miss,hübsch,hässlich
Schornstein,fegen,Ruß,putzen,Dach,Kamin
Schriftart,Arial,Helvetica,Text,Buchstabe,Form
Schutz,Regenschirm,Sonnencreme,Schild,Schoner,Blech
Schwager,Familie,Ehe,heiraten,Bruder,Schwester
Serienmörder,Verbrechen,Killer,tot,Ripper,viel
Sicherheit,Schutz,Schloss,geborgen,fühlen,Krieg
Sieb,fein,Mehl,Sand,klein,schütten
Signal,Zeichen,zeigen,senden,Information,Ton
Skorpion,Tierkreis,Sternbild,November,Giftig,Stachel
Sodbrennen,Magen,Säure,Schluckauf,Speiseröhre,essen
Speer,werfen,schleudern,Athlet,olympisch,Lanze
Speicher,Dach,Boden,Keller,Wäsche,Getreide
Spiegel,sehen,glatt,selbst,Reflexion,Bild
Sport,Bewegung,Fußball,Mannschaft,Pokal,Gesundheit
Sprache,Deutsch,Wort,verstehen,reden,sprechen
Spritze,Injektion,Impfung,pieksen,Haut,Arzt
Steckdose,Strom,laden,Stecker,Volt,elektrisch
Steif,biegsam,Grog,Gelenkig,Brise,starr
Stonehenge,Bauwerk,England,Stein,Kreis,Megalith
Stoppeln,Haar,rasieren,Feld,kurz,Bart
Storch,Vogel,Baby,neugeboren,fliegen,Schnabel
Streit,ärgern,Auseinandersetzung,uneinig,Gemeinheit,gegeneinander
Stütze,stehen,unter,halten,fallen,fest
Supernova,Stern,Explosion,leben,sterben,Ende
Synonym,Wort,anders,ähnlich,Bedeutung,gleich
Tabelle,anordnen,Zeile,Spalte,Excel,Datum
Tabu,Verbot,sagen,Wort,verwenden,Spiel
Taekwondo,Sport,kämpfen,Asien,Faust,Fuß
Talent,DSDS,singen,können,verborgen,besonders
Tanne,Baum,Wald,Pflanze,Nadel,Weihnachten
Tapete,Wand,Papier,kleben,Kleister,renovieren
Tarzan,Urwald,Dschungel,Jane,Cheetah,Jonny Weissmüller
Taschengeld,Euro,Münze,Sparschwein,Schein,ausgeben
Tätowierung,Anker,Herz,Haut,Nadel,Seemann
Teddybär,Spielzeug,schmusen,ausgestopft,schlafen,Steiff
Telefon,anrufen,Nummer,wählen,Hörer,klingeln
Termin,Zeit,Kalender,Treffen,machen,Uhr
Tesla,Auto,Elektrisch,Elon Musk,Batterie,Strom
Teufel,Satan,Luzifer,Hölle,Engel,Gott
Trampolin,Sport,springen,Matte,federn,hoch
Treibhaus,Effekt,Glas,Pflanze,Grün,Tomate
Trinkwasser,sauber,Durst,leben,Station,löschen
Tropfstein,Höhle,Stalagtit,Stalagmit,Hängen,Kalk
U-Boot,Schiff,Wasser,Meer,tauchen,Marine
Uhr,Zeit,Zeiger,Ziffer,Stunde,Werk
Unfall,Unglück,Auto,Verkehr,schlimm,Polizei
Universum,Weltall,alles,groß,unendlich,Kosmos
Untersuchen,Arzt,Doktor,Kommission,Erforschen,Detektiv
Vektor,Mathematik,Zahl,Richtung,Pfeil,Koordinate
Verkleidung,Anziehen,Tarnung,Karneval,Agent,Detektiv
Versicherung,Unfall,Auto,Leben,zahlen,Geld
Visum,Pass,reisen,USA,Stempel,Land
Vitamin C,Ernährung,Zitrone,Orangen,Apotheke,Skorbut
Vogelscheuche,Stroh,Feld,Acker,verjagen,Schutz
Voodoo,Puppe,Geist,Glaube,Figur,Nadel
Vorschlag,Idee,neu,Angebot,Initiative,fragen
Vorwurf,Kritik,Angriff,unzufrieden,Streit,einverstanden
Waffel,Backen,Pfannkuchen,Eisen,Teig,Belgien
Wald,Bäume,Förster,Holz,Wachsen,grün
Weinen,Tränen,flennen,heulen,Augen,traurig
Weltweit,Erde,international,Kontinent,Land,global
Wien,Stadt,Österreich,Prater,Kaffeehaus,Bratislava
Wissenschaftler,Professor,Studieren,Forscher,Experiment,Labor
Witz,lustig,lachen,erzählen,Geschichte,kurz
Wohnung,Heim,Haus,leben,Adresse,Aufenthalt
Wort,Sprache,Satz,Verb,Duden,Buchstabe
Wunsch,Fee,Geburtstag,Weihnachten,Geschenk,Zettel
Würfel,Quader,Form,Quadrat,Eckig,Eis
Zitrone,Sauer,Frucht,Handeln,Limonade,Saft
Zukunft,Vergangenheit,spät,Aussicht,Zeit,jetzt
Zwangsjacke,Psychiater,Riemen,Gummizelle,Arm,Houdini
Zwielicht,dunkel,abend,halb,hell,ganz
Zwitschern,Vogel,piepsen,singen,Geräusch,trinken
